user_location,user_created,date,text,flag
san francisco,2008-07-24 03:44:09,2020-12-12 00:55:48,"so when @Tesla and @Oracle decided to move to Texas, did they know they’d become foreign companies? https://t.co/SWXKQmp9fi",positive
"Fremont, CA",2013-10-22 03:07:30,2020-12-12 02:43:08,"Tesla is seeing strong demand but needs to increase production fast, says Elon Musk in leak email https://t.co/oviC5Moq83 by @fredericlambert",positive
"Fremont, CA",2013-10-22 03:07:30,2020-12-11 17:27:54,Tesla expands in-house Self-Driving testing to Phoenix https://t.co/YhyIJHieF7 by @fredericlambert,positive
LA,2017-09-27 09:19:16,2020-12-11 20:22:06,"Our Youngest Tesla got to meet its twin yesterday!
#ModelY #MachE #FordvsTesla https://t.co/Neeh3SQfif",positive
Silicon Valley,2018-07-08 20:42:31,2020-12-12 00:22:07,What are your weekend plans? Does it involve driving a tesla?,positive
Silicon Valley,2018-07-08 20:42:31,2020-12-12 04:17:54,"Alright fam, I need the sickest pictures of your tesla with a water backdrop. Don’t disappoint",negative
"San Francisco, CA",2007-05-29 00:21:54,2020-12-11 19:55:52,"Tesla's sky-high valuation compared to other car companies is not about Tesla revenue today

It's about the data Tesla is gathering from millions of cars to help create ML models with the goal of creating a mass-market driverless car

That is a multi-trillion dollar market",positive
Silicon Valley,2018-07-08 20:42:31,2020-12-11 15:22:22,15 days until Christmas means 15 more days of wishing our members a merry Xmas from the tesla community. Every day I’ll be posting one video wishing our members a Merry Xmas and Happy Holiday. @slye has the most tesla referrals in the world by spreading his knowledge #tosvxmas https://t.co/UMqQpYy4ha,positive
"Tiburon, CA",2011-02-20 05:25:54,2020-12-11 04:39:08,"A word to the wise on driving a Tesla to Tahoe with 82% battery leaving SF:

if it’s snowing and there is a chain line and it takes 4 hours to drive over the pass,

You better leave Sacramento with 92% battery or you are toast",positive
"San Jose, CA, US",2009-07-19 18:45:05,2020-12-11 23:24:37,"@ARKInvest sees a bright 2021 both for the stock mrkt &amp; innovations. The team also mentioned:

1. $1.2T outside of the stock mrkt can flow in;
2. $BTC will continue its run &amp; could rise 10-fold in the next 5-10 yrs.

https://t.co/RCJr7GmDgB",positive
Silicon Valley,2018-07-08 20:42:31,2020-12-11 00:06:27,"If you wanna go fast, you buy a tesla! @elonmusk https://t.co/tMSwJXZRLN",positive
"Campbell, CA",2006-11-20 23:43:44,2020-12-11 07:49:29,"I am thinking about a new book. Something science fiction.

“Tesla 2035: the world with Elon Musk owning most of transactional transportation.”

That is what we will call autonomous vehicles. Order by the hour.

Tesla Roadster. $20 an hour.

What you think?",positive
"Cupertino, California",2009-02-10 20:27:09,2020-12-11 20:24:05,"Automaker #Tesla has managed to hit a $600 billion market capitalization with a much smaller business than #Apple and #Amazon when they crossed the same threshold, Morgan Stanley says. https://t.co/KTLg1nffO9 https://t.co/67GkpxN2uL",positive
"Oakland, CA",2009-05-17 17:11:59,2020-12-11 22:06:01,"Silicon Valley giant Oracle moves HQ from Redwood City to Austin. https://t.co/BPyQOGcZzC The CA -&gt; TX migration is becoming what feels like a weekly thing now. HPE, Charles Schwab, Elon Musk (but not Tesla), McKesson...",positive
Silicon Valley,2018-07-08 20:42:31,2020-12-12 01:48:45,".⁦@elonmusk⁩ ""We are fortunate to have the high-class problem of demand being quite a bit higher than production this quarter"" demand is unreal https://t.co/HGey1dZ7wc",negative
"San Jose, CA, USA",2019-10-29 15:43:18,2020-12-11 22:09:05,"Key employers of the bay area - HPE, Tesla, &amp; now Oracle moving their headquarters out of Silicon Valley. We need a friendly environment for companies to grow/innovate in Silicon Valley @TheSVO @svcaf2020 @HinduAmericans @GOPLeader @GavinNewsom 

https://t.co/T5IsdlDZvK",positive
"San Francisco, CA",2012-04-26 21:27:02,2020-12-12 10:00:01,"This is what zero to 60 mph in 1.1 seconds looks like, and it's bound to give you a whiplash. 🤩

#engineering 
https://t.co/c2u2ER04NH",positive
"East Bay, Ca",2019-09-20 21:47:24,2020-12-11 04:32:48,"🚨 Life Hack Product Alert! 🚨

Fits your car via a metal U-latch for your @Tesla trunk or tailgate w/space for 8! Supports 200+ lbs! Stowaway Dishwasher Safe Cutting Board. 6 Stem Glass Wine Holders. Non-Slip Rubberized Surface

https://t.co/AEHnYhznyl https://t.co/HLwmMcbsQr",positive
"Berkeley, CA",2009-04-21 05:38:52,2020-12-11 22:06:22,Tesla running a sweatshop,positive
San Francisco,2009-08-24 02:11:02,2020-12-11 02:51:50,Building a massive success like @Airbnb takes extreme perseverance. @Apple @Tesla @SpaceX all were days from bankruptcy at one point. #RIPAirbnb was trending in 2011 and the founders maxed out their credit cards in 2008 to keep the lights on. Never give up on your dreams.,positive
"San Francisco, CA",2020-06-22 03:51:31,2020-12-11 16:09:48,"Nikola found a new Tesla software version ""2020.48.11 115480c48fc5"" running on a Model 3.",positive
"Sacramento, California",2009-04-03 15:41:50,2020-12-11 15:43:41,3 words sum up my observations on Elon Musk's supposed move to Texas -- Enjoy the commute. @CalBudgetCenter https://t.co/Df4Z1wl3Oq,positive
Berkeley,2015-04-01 16:31:11,2020-12-11 18:38:39,"@KyleWoodley @jackiesojico I've taken out mailboxes
and some old bats
You brought me kids and wife
some rad christmas gifts
I thank you all
But it's been no bed of roses
Not Tesla smooth
I consider it a challenge
To plow the whole damn town
And I ain't gonna lose
(And I need to go on and on and on and on)",positive
"Oakland, CA",2008-07-29 22:29:44,2020-12-12 11:00:07,All eyes are on Texas after Tesla CEO Elon Musk and major tech companies emigrate from California. We take a look at what makes our Lone Star State so great.​ https://t.co/tArQ2mqwYU,negative
"Lafayette, CA",2008-11-28 00:36:42,2020-12-11 00:33:45,Anyone else sometimes drive with no audio on in the @Tesla? Just to listen to the sound of the Electric motor and regen? Very therapeutic if you ask me. https://t.co/Wh6xeJsbt4,negative
"San Francisco, CA",2010-04-25 21:18:10,2020-12-11 00:57:44,"Considering Tesla ~600B valuation, QS ~26B, cleantech 1.0 wasn't the failure everybody claims

It just followed the natural early VC power law in which &lt;5% of investments generated all the returns. Top investors @NancyPfundDBL, @vkhosla, @FutureJurvetson, @jeffskoll killed it https://t.co/k9z4lKrylG",positive
"Fremont, CA",2013-10-22 03:07:30,2020-12-11 21:00:10,"Podcast: Tesla (TSLA) capital raise, Toyota makes some EV moves, QuantumScape details, and more https://t.co/YXUNsqC5nV",positive
"San Francisco, CA",2009-09-17 23:52:55,2020-12-12 01:48:47,"Tesla to replace Apartment Investment and Management in the S&amp;P 500 https://t.co/IfetHE3Rhq 

This should rocket Tesla stock price on Monday.  All fund managers that are buying the S&amp;P 500 index will get affected by this news.",negative
"Sacramento, CA",2019-10-06 03:37:22,2020-12-11 21:22:39,"So amazing! I love to see countries move towards EVs... I’ve always been such a huge fan of them, currently on my 5th EV 🚗. Started with Chevy Volt, Fiat 500e, BMW i3, Chevy Bolt, now Tesla Model 3 🎉 https://t.co/3b28hnJV5e",positive
"Tiburon, CA",2011-02-20 05:25:54,2020-12-11 01:18:11,it woulda been kinda funny if Tesla did go private at $420 and then they IPO’d it again now,positive
Silicon Valley,2018-07-08 20:42:31,2020-12-12 01:29:13,Heck yeah!!!!! The tesla conversion. https://t.co/kD6hcGkhSv,positive
"Fremont, CA",2013-10-22 03:07:30,2020-12-11 20:40:15,"Podcast: Tesla (TSLA) capital raise, Toyota makes some EV moves, QuantumScape details, and more https://t.co/sR9mKktFl2

Thanks again @electrifyam for sponsoring!",positive
"Lafayette, CA",2008-11-28 00:36:42,2020-12-12 03:37:11,@Kyle__Cyt0t0xiN @GasOff2 @ICannot_Enough @BMWUSA @Tesla @BMW is the one flooding tesla twitter users with ads. They’re asking. We’re replying. Simple.,positive
"Oakland, CA",2015-11-02 00:33:13,2020-12-11 05:10:43,@sacramentotesla @TeslaChillMode @MikeyNog @CodingMark @JosephVVallace @TacosandTeslas @TeslaForThe_Win @UNPLGD3 @matmansd @JasonDe22001914 @jd_average @CharlesScott78 @nickwhoward @ChrisLiMRX3 @HelperTesla @aaronbrighton @MFrunker @jchybow @_bennettm_ @akidesir @BenClewett1 @CanadianMartia1 @elonmusk @flyerandyp @gatica1813 @IheartTesla @Inelonwetrust @JohnEG78 @Kristennetten @lourencovc @NOAHWEBB @omniblast @phibetakitten @rachelsrowell @SeasonedTech @tartinedeouf @Tesla @TeslaGong @teslainvernon @teslaownerssv @teslaquadcities @trevlan006 @wadeanderson @WR4NYGov @XarXarBinx Burritos as the after party meal would be epic,positive
